thresh,recall,specificity,average_accuracy,TP,FP,TN,FN
0.1,0.0,1.0,0.5,0,0,1330,10
0.15,0.0,1.0,0.5,0,0,1330,10
0.2,0.0,1.0,0.5,0,0,1330,10
0.25,0.0,1.0,0.5,0,0,1330,10
0.3,0.0,1.0,0.5,0,0,1330,10
0.35,0.0,1.0,0.5,0,0,1330,10
0.4,0.0,1.0,0.5,0,0,1330,10
0.45,0.0,1.0,0.5,0,0,1330,10
0.5,0.0,1.0,0.5,0,0,1330,10
0.55,0.1,1.0,0.55,1,0,1330,9
0.6,0.1,1.0,0.55,1,0,1330,9
0.65,0.1,1.0,0.55,1,0,1330,9
0.7,0.2,1.0,0.6,2,0,1330,8
0.75,0.2,1.0,0.6,2,0,1330,8
0.8,0.2,0.9984962406015038,0.5992481203007519,2,2,1328,8
0.85,0.2,0.9954887218045113,0.5977443609022557,2,6,1324,8
0.9,0.2,0.9962406015037594,0.5981203007518797,2,5,1325,8
0.95,0.2,0.9954887218045113,0.5977443609022557,2,6,1324,8
1.0,0.2,0.9954887218045113,0.5977443609022557,2,6,1324,8
