thresh,recall,specificity,average_accuracy,TP,FP,TN,FN
0.1,0.0,1.0,0.5,0,0,1330,10
0.15,0.0,1.0,0.5,0,0,1330,10
0.2,0.1,1.0,0.55,1,0,1330,9
0.25,0.2,1.0,0.6,2,0,1330,8
0.3,0.6,0.9992481203007518,0.7996240601503759,6,1,1329,4
0.35,0.7,0.9992481203007518,0.849624060150376,7,1,1329,3
0.4,0.8,0.9992481203007518,0.899624060150376,8,1,1329,2
0.45,0.8,0.9992481203007518,0.899624060150376,8,1,1329,2
0.5,0.8,0.9992481203007518,0.899624060150376,8,1,1329,2
0.55,0.8,0.9992481203007518,0.899624060150376,8,1,1329,2
0.6,0.8,0.9992481203007518,0.899624060150376,8,1,1329,2
0.65,0.8,0.9992481203007518,0.899624060150376,8,1,1329,2
0.7,0.9,0.9992481203007518,0.9496240601503759,9,1,1329,1
0.75,0.9,0.9977443609022556,0.9488721804511278,9,3,1327,1
0.8,0.9,0.9977443609022556,0.9488721804511278,9,3,1327,1
0.85,0.9,0.9977443609022556,0.9488721804511278,9,3,1327,1
0.9,0.9,0.9977443609022556,0.9488721804511278,9,3,1327,1
0.95,0.9,0.9977443609022556,0.9488721804511278,9,3,1327,1
1.0,0.9,0.9977443609022556,0.9488721804511278,9,3,1327,1
